Galaxy,chi_square,alpha,disk_scale,bulge_scale,phi_zero
UGCA442_rotmod,1.338324518664069,2.670625802408599e-08,                 2.4022549894532643,1.0,2.8647946796093216e-06 
UGC04305_rotmod,2.576559252608181,2.904670533600829e-16,                 1.0170969498904685,1.0,3.618760298237866e-06 
NGC2841_rotmod,1.4903589223344378,4.876127788609213e-10,                 1.15512642464904,0.9613278164120206,3.985111620249881e-06 
UGC07232_rotmod,0.14887207994701412,1.9102930258889756e-07,                 0.7153216177930913,1.0,2.3682255868199998e-06 
NGC4068_rotmod,0.09084662045509607,2.4721038837950796e-07,                 0.6535144881800536,1.0,2.6562252603554394e-06 
D564-8_rotmod,0.11474025498153693,2.0152676449479834e-07,                 1.1549815105522658,1.0,2.6562252603554394e-06 
NGC0024_rotmod,0.34404826511915415,2.4905099282605358e-09,                 1.4083276111140237,1.0,3.743967144766226e-06 
DDO168_rotmod,3.6196290841694108,2.0531812292651672e-07,                 0.10881827489255869,1.0,3.065057007881928e-06 
UGC00128_rotmod,6.9724302413395405,3.66247730693866e-09,                 1.7657181607474897,1.0,3.618760298237866e-06 
D631-7_rotmod,0.4034881710521595,1.973685251516817e-07,                 0.3000775887471803,1.0,3.392034252601659e-06 
UGC01281_rotmod-Copy1,0.529651756938282,7.40566273777771e-08,                 1.4031572455595565,1.0,3.681322409857878e-06 
NGC2976_rotmod,0.38745418351467853,1.783906124374132e-08,                 0.8632531968242165,1.0,3.7125273763091643e-06 
NGC6946_rotmod,2.34950192432381,8.710728197573991e-10,                 0.7281222688313475,0.543751446474045,4.032308821953264e-06 
NGC7331_rotmod,0.5765495345674326,9.301419281182544e-10,                 0.6761685952379853,0.0001913932718701245,3.877713734514092e-06 
NGC5907_rotmod,4.604226774033825,1.0646399184205975e-09,                 0.9795284588323453,1.0,3.4926067951406126e-06 
NGC3198_rotmod,5.673415692401334,2.1401990041262803e-09,                 0.9381862249165256,1.0,3.935691023684328e-06 
NGC0891_rotmod,4.789654208567054,7.312764852675405e-10,                 0.5379568537026583,0.7855537755518469,3.4685488224002466e-06 
NGC3741_rotmod,1.0609413566419577,5.927171299801456e-07,                 0.4955231038388182,1.0,3.558005140268911e-06 
NGC0247_rotmod,1.9447323036547535,3.214402479845693e-09,                 1.5129068490480304,1.0,3.694658858819989e-06 
UGC07524_rotmod,1.0951330167705617,1.9589602880412978e-08,                 1.3883507405647297,1.0,3.7727107017916375e-06 
UGC07151_rotmod,0.9137635353290875,8.437028581948415e-09,                 1.1329368667082034,1.0,3.1310131610425587e-06 
UGC04483_rotmod,0.32248052330041405,6.366491883605274e-08,                 1.1969339030656998,1.0,2.8647946796093216e-06 
NGC0055_rotmod,2.3264847197609244,2.928413793481223e-08,                 0.9554605191596716,1.0,3.558005140268911e-06 
NGC2403_rotmod,15.630937597557695,4.565117429819345e-09,                 0.9151729063910461,1.0,4.103703637097236e-06 
ESO444-G084_rotmod,0.36088418512073633,3.706433140132505e-08,                 2.020962456717923,1.0,2.7697701267296215e-06 
NGC6789_rotmod,0.1410607060915432,2.063247799122288e-07,                 1.098906483685623,1.0,2.3682255868199998e-06 
UGC08490_rotmod,0.7202549522329331,4.707533351170561e-09,                 1.380448673499384,1.0,3.7576123992122394e-06 
UGC07559_rotmod,0.07876928596686182,1.2502587399477258e-07,                 0.8568526523322547,1.0,2.7697701267296215e-06 
NGC2915_rotmod,0.39579641167979923,1.970551191154702e-07,                 0.38427031126986355,1.0,3.7576123992122394e-06 
NGC5055_rotmod,53.83874476923932,4.982430020978487e-10,                 0.6896472625255917,1.0,3.729889199668195e-06 
NGC6503_rotmod,8.019379323717196,2.320796305744598e-09,                 0.8561581640341335,1.0,3.7727107017916375e-06 
PGC51017_rotmod,1.2379438881919995,1.8942782222798802e-16,                 0.8412130883393599,1.0,2.6562252603554394e-06 
NGC1705_rotmod,0.19200292664740864,2.917150449558827e-09,                 1.4441904000217423,1.0,3.3099192613718044e-06 
UGC07577_rotmod,0.021939780185964555,3.665559439253629e-07,                 0.538957200515391,1.0,2.9716371906492047e-06 
NGC0300_rotmod,0.4281854950374996,1.703473195999533e-08,                 1.1564156390478961,1.0,3.681322409857878e-06 
NGC7793_rotmod,0.8499726829826993,3.6156260450525098e-09,                 0.8916808604615897,1.0,3.958659388027099e-06 
NGC4214_rotmod,0.7044696890335921,5.238801755474128e-09,                 1.0943057803167657,1.0,3.3099192613718044e-06 
UGC08837_rotmod,0.41841526341998087,3.290545623256089e-07,                 0.6020527802030925,1.0,2.8647946796093216e-06 
UGC07866_rotmod,0.035782842421554904,3.637219254713238e-08,                 1.2156036193678568,1.0,2.7697701267296215e-06 
UGC08286_rotmod,1.4260153938070828,7.688124813317413e-09,                 1.6937321997046393,1.0,3.426909797106068e-06 
NGC2683_rotmod,1.3761593687260159,5.540824787221556e-10,                 0.9422243645545776,1.899628258274482e-05,3.1310131610425587e-06 
IC2574_rotmod,1.0861820646674083,2.0373687017175395e-07,                 0.9539917609898251,1.0,3.856421041674189e-06 
UGCA444_rotmod,0.07575283077342009,6.098677877216461e-08,                 3.3453268023278713,1.0,3.877713734514092e-06 
NGC3109_rotmod,0.2681550624075482,1.1363733425539886e-07,                 1.8841728588510087,1.0,3.681322409857878e-06 
DDO154_rotmod,16.566366392693965,1.2740503189099004e-07,                 1.1432873193872441,1.0,3.1919951620190414e-06 
UGCA281_rotmod,0.16014680113983296,3.0185300135159054e-08,                 1.2040478079353187,1.0,2.7697701267296215e-06 
CamB_rotmod,0.10992462141570307,5.988425948453908e-07,                 9.123886924082992e-06,1.0,2.9716371906492047e-06 
NGC7814_rotmod,0.4049312025869211,3.2631460703924684e-10,                 1.149559684207182,0.7035638496149844,3.4685488224002466e-06 
NGC2366_rotmod,2.193401221098492,6.41166391794008e-08,                 0.9916336158870637,1.0,3.694658858819989e-06 
